outcome,tract,metric,node,t,p,hemisphere,N,covariates,extent_threshold,cluster_p,passed
SOCIAL_FABias,l_vta_l_hipp,FA,32,0.3198,0.75064,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,33,0.2743,0.78509,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,34,0.2546,0.80019,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,35,0.2015,0.84119,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,36,0.0988,0.92175,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,37,-0.0249,0.98024,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,38,-0.1391,0.89002,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,39,-0.2715,0.78724,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,40,-0.4498,0.65498,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,41,-0.6777,0.50141,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,42,-0.9866,0.32913,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,43,-1.288,0.20433,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,44,-1.5974,0.11717,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,45,-1.9183,0.06143,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,46,-2.1725,0.03513,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,47,-2.4251,0.01938,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,48,-2.6446,0.01122,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,49,-2.8427,0.0067,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,50,-3.0354,0.00398,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,51,-3.2612,0.00212,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,52,-3.456,0.00121,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,53,-3.6537,0.00067,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,54,-3.8508,0.00037,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,55,-4.0256,0.00022,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,56,-4.1924,0.00013,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,57,-4.3216,8e-05,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,58,-4.4173,6e-05,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,59,-4.4627,5e-05,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,60,-4.4188,6e-05,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,61,-4.3531,8e-05,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,62,-4.2605,0.0001,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,63,-4.1529,0.00014,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,64,-4.0073,0.00023,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,65,-3.849,0.00037,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,66,-3.6877,0.00061,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,67,-3.5478,0.00092,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,68,-3.4214,0.00134,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,69,-3.2875,0.00197,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,70,-3.095,0.00338,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
SOCIAL_FABias,l_vta_l_hipp,FA,71,-2.8432,0.00669,L,52,"ICV, Mean_tckstats, Count_tckstats, absolute_motion, maternal_age",22,0.0264,1
